word,hanja,pronunciation,english_translations,korean_definitions,part_of_speech,frequency
시인,詩人,시인,poet,전문적으로 시를 짓는 사람.,명사,0
시인,,원시인,poet; admission; acknowledgement; admit; acknowledge; watcher; surveillant; city person; urbanite; ancient people; primitive man,전문적으로 시를 짓는 사람. 어떤 내용이나 사실이 맞거나 그러하다고 인정함. 어떤 내용이나 사실이 맞거나 그러하다고 인정하다. 사람을 단속하거나 상황을 통제하기 위해 일정한 곳을 주의 깊게 지켜보는 사람. 도시에서 사는 사람. 아주 먼 옛날에 살던 사람들. 문명이 발달하지 않은 사회의 사람.,명사,0
시인,是認,시ː인,admission; acknowledgement; admit; acknowledge,어떤 내용이나 사실이 맞거나 그러하다고 인정함. 어떤 내용이나 사실이 맞거나 그러하다고 인정하다.,명사,0
역시,亦是,역씨,also; as well; as one expected; as expected; as always; after all,어떤 것과 마찬가지로. 생각했던 대로. 이전과 마찬가지로. 아무리 생각해도.,부사,4
이상,以上,이ː상,or more; and over; now that; since; the end,수량이나 정도가 일정한 기준을 포함하여 그보다 많거나 나은 것. 순서나 위치가 일정한 기준보다 앞이거나 위인 것. 이미 그렇게 된 바에는. 서류나 강연 등에 마지막에 써서 ‘끝’의 뜻을 나타내는 말.,명사,2
이래,以來,이ː래,since,과거의 어느 일정한 때부터 지금까지. 또는 그 뒤.,의존 명사,3
이외,以外,이ː외/이ː웨,the others; being other than,어떤 범위의 밖.,명사,5
이전,以前,이ː전,previous time; before; before; last time; the other day,지금보다 앞. 기준이 되는 때를 포함하여 그 앞. 말하고 있는 때 이전의 지나간 차례나 때.,명사,6
이하,以下,이ː하,and below; and less; below,수량이나 정도가 일정한 기준을 포함하여 그보다 적거나 모자란 것. 순서나 위치가 일정한 기준보다 뒤거나 아래인 것.,명사,7
이후,以後,이ː후,later time; the future; since,지금부터 뒤. 기준이 되는 때를 포함하여 그 뒤.,명사,8
이내,以內,이ː내,within; less than; not more than,일정한 범위의 안.,명사,12
나,,,I; na; -na; -na mana,"말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말. 만족스럽지는 않지만 선택함을 나타내는 조사. 사실은 그렇지 않지만 그런 것처럼 행동함을 나타내는 조사. 수량이 예상되는 정도를 넘거나 꽤 크거나 많음을 강조하는 조사. 수량이나 정도를 대강 짐작할 때 쓰는 조사. 많지는 않으나 어느 정도는 됨을 나타내는 조사. 여러 가지 중에서 모두를 포함함을 나타내는 조사. 말하는 사람이 인용되는 내용에 별 관심이 없거나 가벼운 의문을 나타낼 때 쓰는 조사. 둘 이상의 사물을 같은 자격으로 이어 주거나 그중에 하나만이 선택됨을 나타내는 조사. 어떤 대상이 최선의 자격 또는 조건이 됨을 나타내는 조사. (나고, 나는데, 나, 나서, 나니, 나면, 난, 나는, 날, 납니다, 났다, 나라)→ 나다1, 나다2 (나은데, 나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다)→ 낫다2 (나는데, 나니, 난, 나는, 날, 납니다)→ 날다 (나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다, 나아라)→ 낫다1 앞에 오는 말과 뒤에 오는 말의 내용이 서로 다름을 나타내는 연결 어미. 여러 가지 중에서 어느 것을 선택해도 상관이 없음을 나타내는 연결 어미. 앞말이 나타내는 상태를 강조할 때 쓰는 연결 어미. (예사 낮춤으로) 물음을 나타내는 종결 어미. (두루낮춤으로) 물음이나 추측을 나타내는 종결 어미. 그렇게 하나 그렇게 하지 않으나 다름이 없는 상황임을 나타내는 표현. (나타나고, 나타나는데, 나타나, 나타나서, 나타나니, 나타나면, 나타난, 나타나는, 나타날, 나타납니다, 나타났다, 나타나라)→ 나타나다",품사 없음,1
이상,,이ː상스레,or more; and over; now that; since; the end; abnormality; uncommonness; extraordinariness; singularity; strangeness; ideal; being ideal; ideal type; utopia; utopian country; rather abnormal; somewhat abnormal; abnormally,수량이나 정도가 일정한 기준을 포함하여 그보다 많거나 나은 것. 순서나 위치가 일정한 기준보다 앞이거나 위인 것. 이미 그렇게 된 바에는. 서류나 강연 등에 마지막에 써서 ‘끝’의 뜻을 나타내는 말. 정상적인 것과 다름. 원래 알고 있던 것과 달리 별나거나 색다름. 보통과 달라 의심스러움. 어떤 것에 대하여 생각할 수 있는 것 중에서 가장 나은 상태나 모습. 보통이나 평소와는 다른 상태. 어떤 것에 대하여 생각할 수 있는 것 중에서 가장 나은 것. 어떤 것에 대하여 생각할 수 있는 것 중에서 가장 나은. 가장 완전하다고 생각하는 사람의 유형. 이상적인 국가. 보기에 정상적인 것과 다른 데가 있다. 보기에 정상적인 것과 다른 데가 있게.,부사,2
이래,,이러다,since; irae; iraeseo; iraedo; iraerajeoraera; for this and that; for one thing or another; so; like this; do this way; say like this,"과거의 어느 일정한 때부터 지금까지. 또는 그 뒤. ‘이리하여’가 줄어든 말. ‘이러하여’가 줄어든 말. (이래, 이래서, 이랬다, 이래라)→ 이러다 (이래, 이래서, 이랬다)→ 이렇다 '이리하여서'가 줄어든 말. '이러하여서'가 줄어든 말. ‘이리하여도’가 줄어든 말. ‘이러하여도’가 줄어든 말. ‘이리하여라 저리하여라’가 줄어든 말. 이렇게 저렇게. 또는 이런저런 이유로. 상태, 모양, 성질 등이 이와 같다. 이렇게 하다. 이렇게 말하다.",동사,3
역시,,광ː역씨,also; as well; as one expected; as expected; as always; after all; metropolitan city,어떤 것과 마찬가지로. 생각했던 대로. 이전과 마찬가지로. 아무리 생각해도. 큰 도시와 그 근처의 작은 시와 군을 포함하는 하나의 넓은 행정 단위.,명사,4
이외,,이ː외/이ː웨,the others; being other than,어떤 범위의 밖.,명사,5
